k,n,range_B,log_n,gamma_k,n_scaled,gamma_scaled,note
1,23159557,0.02,16.958,14.135,0.000,0.000,initial sample
2,117309848,0.12,18.580,21.022,0.048,0.135,from 100M-300M
3,136584738,0.14,18.732,25.011,0.057,0.213,from 100M-300M
4,218787064,0.22,19.204,30.425,0.099,0.320,from 100M-300M
5,411784485,0.41,19.836,32.935,0.197,0.369,
6,423600750,0.42,19.864,37.586,0.203,0.460,
7,523331634,0.52,20.076,40.919,0.253,0.525,
8,640399031,0.64,20.278,43.327,0.313,0.573,
9,987980498,0.99,20.711,48.005,0.489,0.664,
10,1163461515,1.16,20.875,49.774,0.578,0.699,
11,1370439187,1.37,21.038,52.970,0.683,0.762,
12,1643105964,1.64,21.220,56.446,0.821,0.830,deep-space burst I
13,1691581855,1.69,21.249,59.347,0.846,0.887,deep-space burst II
14,1975860550,1.98,21.404,60.832,0.990,0.916,from 1.9B-2B
15,1996430175,2.00,21.415,65.113,1.000,1.000,limit coordinate
